"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 23 00:56:50 IST 2021","Tue Nov 23 00:56:50 IST 2021","0","","Performing Login Operation: Launch the application and Verify the Url","","Performing Login Operation: Launch the application and Verify the Url","","",""
"passed","Tue Nov 23 00:56:50 IST 2021","Tue Nov 23 00:56:52 IST 2021","2359","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","When I Click on Get Started Button","When I Click on Get Started Button",""
"passed","Tue Nov 23 00:56:44 IST 2021","Tue Nov 23 00:56:44 IST 2021","47","","Performing Login Operation: Launch the application and Verify the Url","","Performing Login Operation: Launch the application and Verify the Url","Given I Launch the application","Given I Launch the application",""
"passed","Tue Nov 23 00:56:50 IST 2021","Tue Nov 23 00:56:50 IST 2021","2","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","Given I Launch the application","Given I Launch the application",""
"passed","Tue Nov 23 00:56:52 IST 2021","Tue Nov 23 00:56:52 IST 2021","12","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","Then Verify the Url of Get Started Page","Then Verify the Url of Get Started Page",""
"passed","Tue Nov 23 00:56:44 IST 2021","Tue Nov 23 00:56:50 IST 2021","6333","","Performing Login Operation: Launch the application and Verify the Url","","Performing Login Operation: Launch the application and Verify the Url","Then Verify the Url of HomePage","Then Verify the Url of HomePage",""
"passed","Tue Nov 23 00:56:52 IST 2021","Tue Nov 23 00:56:52 IST 2021","0","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","","Performing Login Operation: Launch the application and click on Get Starter Button and Verify the Url","","",""
